date,admin1,market,admin1_enc,market_enc,latitude,longitude,year,month,month_sin,month_cos,cpi,fuel_price,temperature,rainfall,cpi_x_fuel,price_yam_per_kg,price_cassava_gari_yellow_per_kg,price_gari_white_per_kg,price_rice_local_per_kg,price_maize_white_per_kg,price_maize_yellow_per_kg,price_rice_imported_per_kg,price_yam_per_kg_deflated,price_yam_per_kg_lag1,price_yam_per_kg_lag3,price_yam_per_kg_lag6,price_yam_per_kg_lag12,price_yam_per_kg_roll_mean3,price_yam_per_kg_roll_mean6,price_yam_per_kg_roll_std3,price_yam_per_kg_deflated_lag1,price_yam_per_kg_deflated_lag3,price_cassava_gari_yellow_per_kg_deflated,price_cassava_gari_yellow_per_kg_lag1,price_cassava_gari_yellow_per_kg_lag3,price_cassava_gari_yellow_per_kg_lag6,price_cassava_gari_yellow_per_kg_lag12,price_cassava_gari_yellow_per_kg_roll_mean3,price_cassava_gari_yellow_per_kg_roll_mean6,price_cassava_gari_yellow_per_kg_roll_std3,price_cassava_gari_yellow_per_kg_deflated_lag1,price_cassava_gari_yellow_per_kg_deflated_lag3,price_gari_white_per_kg_deflated,price_gari_white_per_kg_lag1,price_gari_white_per_kg_lag3,price_gari_white_per_kg_lag6,price_gari_white_per_kg_lag12,price_gari_white_per_kg_roll_mean3,price_gari_white_per_kg_roll_mean6,price_gari_white_per_kg_roll_std3,price_gari_white_per_kg_deflated_lag1,price_gari_white_per_kg_deflated_lag3,price_rice_local_per_kg_deflated,price_rice_local_per_kg_lag1,price_rice_local_per_kg_lag3,price_rice_local_per_kg_lag6,price_rice_local_per_kg_lag12,price_rice_local_per_kg_roll_mean3,price_rice_local_per_kg_roll_mean6,price_rice_local_per_kg_roll_std3,price_rice_local_per_kg_deflated_lag1,price_rice_local_per_kg_deflated_lag3,price_maize_white_per_kg_deflated,price_maize_white_per_kg_lag1,price_maize_white_per_kg_lag3,price_maize_white_per_kg_lag6,price_maize_white_per_kg_lag12,price_maize_white_per_kg_roll_mean3,price_maize_white_per_kg_roll_mean6,price_maize_white_per_kg_roll_std3,price_maize_white_per_kg_deflated_lag1,price_maize_white_per_kg_deflated_lag3,price_maize_yellow_per_kg_deflated,price_maize_yellow_per_kg_lag1,price_maize_yellow_per_kg_lag3,price_maize_yellow_per_kg_lag6,price_maize_yellow_per_kg_lag12,price_maize_yellow_per_kg_roll_mean3,price_maize_yellow_per_kg_roll_mean6,price_maize_yellow_per_kg_roll_std3,price_maize_yellow_per_kg_deflated_lag1,price_maize_yellow_per_kg_deflated_lag3,price_rice_imported_per_kg_deflated,price_rice_imported_per_kg_lag1,price_rice_imported_per_kg_lag3,price_rice_imported_per_kg_lag6,price_rice_imported_per_kg_lag12,price_rice_imported_per_kg_roll_mean3,price_rice_imported_per_kg_roll_mean6,price_rice_imported_per_kg_roll_std3,price_rice_imported_per_kg_deflated_lag1,price_rice_imported_per_kg_deflated_lag3
2014-07-15,Abia,Aba,0,0,5.15,7.36,2014,7,-0.5,-0.866025,145.8,89.11,25.71,5.44,12992.24,140.0,62.5,51.46,177.78,92.02,76.92,94.29,84.42,,,,,,,,,,37.69,,,,,,,,,,31.03,,,,,,,,,,107.2,,,,,,,,,,55.49,,,,,,,,,,46.38,,,,,,,,,,56.86,,,,,,,,,
2014-08-15,Abia,Aba,0,0,5.15,7.36,2014,8,-0.866025,-0.5,145.8,89.11,25.71,5.44,12992.24,140.0,63.19,51.46,188.89,89.25,76.92,117.86,84.42,140.0,,,,140.0,140.0,,84.42,,38.1,62.5,,,,62.5,62.5,,37.69,,31.03,51.46,,,,51.46,51.46,,31.03,,113.9,177.78,,,,177.78,177.78,,107.2,,53.82,92.02,,,,92.02,92.02,,55.49,,46.38,76.92,,,,76.92,76.92,,46.38,,71.07,94.29,,,,94.29,94.29,,56.86,
2014-09-15,Abia,Aba,0,0,5.15,7.36,2014,9,-1.0,-0.0,145.8,89.11,25.71,5.44,12992.24,117.4,64.87,51.75,200.0,86.44,76.92,204.64,70.79,140.0,,,,140.0,140.0,0.0,84.42,,39.12,63.19,,,,62.84,62.84,0.49,38.1,,31.21,51.46,,,,51.46,51.46,0.0,31.03,,120.6,188.89,,,,183.33,183.33,7.86,113.9,,52.12,89.25,,,,90.64,90.64,1.96,53.82,,46.38,76.92,,,,76.92,76.92,0.0,46.38,,123.4,117.86,,,,106.08,106.08,16.67,71.07,
2014-10-15,Abia,Aba,0,0,5.15,7.36,2014,10,-0.866025,0.5,145.8,89.11,25.71,5.44,12992.24,94.8,59.26,45.39,151.85,86.44,85.25,188.93,57.17,117.4,140.0,,,132.47,132.47,13.05,70.79,84.42,35.73,64.87,62.5,,,63.52,63.52,1.22,39.12,37.69,27.37,51.75,51.46,,,51.56,51.56,0.17,31.21,31.03,91.57,200.0,177.78,,,188.89,188.89,11.11,120.6,107.2,52.12,86.44,92.02,,,89.24,89.24,2.79,52.12,55.49,51.41,76.92,76.92,,,76.92,76.92,0.0,46.38,46.38,113.93,204.64,94.29,,,138.93,138.93,58.11,123.4,56.86
2014-11-15,Abia,Aba,0,0,5.15,7.36,2014,11,-0.5,0.866025,145.8,89.11,25.71,5.44,12992.24,81.2,53.66,39.03,170.74,88.22,93.59,200.54,48.97,94.8,140.0,,,117.4,123.05,22.6,57.17,84.42,32.36,59.26,63.19,,,62.44,62.46,2.88,35.73,38.1,23.54,45.39,51.46,,,49.53,50.02,3.59,27.37,31.03,102.96,151.85,188.89,,,180.25,179.63,25.21,91.57,113.9,53.2,86.44,89.25,,,87.38,88.54,1.62,52.12,53.82,56.44,85.25,76.92,,,79.7,79.0,4.81,51.41,46.38,120.93,188.93,117.86,,,170.48,151.43,46.24,113.93,71.07
2014-12-15,Abia,Aba,0,0,5.15,7.36,2014,12,-0.0,1.0,145.8,89.11,25.71,5.44,12992.24,106.8,94.17,63.42,189.63,87.48,101.92,212.14,64.4,81.2,117.4,,,97.8,114.68,18.29,48.97,70.79,56.79,53.66,64.87,,,59.26,60.7,5.61,32.36,39.12,38.24,39.03,51.75,,,45.39,47.82,6.36,23.54,31.21,114.35,170.74,200.0,,,174.2,177.85,24.26,102.96,120.6,52.75,88.22,86.44,,,87.03,88.47,1.03,53.2,52.12,61.46,93.59,76.92,,,85.25,81.92,8.34,56.44,46.38,127.92,200.54,204.64,,,198.04,161.25,8.15,120.93,123.4
2015-01-15,Abia,Aba,0,0,5.15,7.36,2015,1,0.5,0.866025,158.93,52.35,26.21,3.11,8319.99,106.8,107.67,80.56,193.33,86.74,103.15,220.71,59.08,106.8,94.8,140.0,,94.27,113.37,12.81,64.4,57.17,59.56,94.17,59.26,62.5,,69.03,66.27,21.95,56.79,35.73,44.57,63.42,45.39,51.46,,49.28,50.42,12.65,38.24,27.37,106.95,189.63,151.85,177.78,,170.74,179.81,18.89,114.35,91.57,47.98,87.48,86.44,92.02,,87.38,88.31,0.89,52.75,52.12,57.06,101.92,85.25,76.92,,93.59,85.25,8.34,61.46,51.41,122.1,212.14,188.93,94.29,,200.54,169.73,11.61,127.92,113.93
2015-02-15,Abia,Aba,0,0,5.15,7.36,2015,2,0.866025,0.5,158.93,52.35,26.21,3.11,8319.99,106.8,121.17,72.26,197.04,86.74,104.38,220.71,59.08,106.8,81.2,140.0,,98.27,107.83,14.78,59.08,48.97,67.03,107.67,53.66,63.19,,85.17,73.8,28.11,59.56,32.36,39.97,80.56,39.03,51.46,,61.0,55.27,20.87,44.57,23.54,109.0,193.33,170.74,188.89,,184.57,182.41,12.12,106.95,102.96,47.98,86.74,88.22,89.25,,87.48,87.43,0.74,47.98,53.2,57.74,103.15,93.59,76.92,,99.55,89.62,5.2,57.06,56.44,122.1,220.71,200.54,117.86,,211.13,190.8,10.12,122.1,120.93
2015-03-15,Abia,Aba,0,0,5.15,7.36,2015,3,1.0,0.0,158.93,52.35,26.21,3.11,8319.99,106.8,121.17,63.96,197.04,86.74,104.38,220.71,59.08,106.8,106.8,117.4,,106.8,102.3,0.0,59.08,64.4,67.03,121.17,94.17,64.87,,107.67,83.47,13.5,67.03,56.79,35.38,72.26,63.42,51.75,,72.08,58.74,8.57,39.97,38.24,109.0,197.04,189.63,200.0,,193.33,183.76,3.71,109.0,114.35,47.98,86.74,87.48,86.44,,86.99,87.01,0.43,47.98,52.75,57.74,104.38,101.92,76.92,,103.15,94.2,1.23,57.74,61.46,122.1,220.71,212.14,204.64,,217.85,207.94,4.95,122.1,127.92
2015-04-15,Abia,Aba,0,0,5.15,7.36,2015,4,0.866025,-0.5,158.93,52.35,26.21,3.11,8319.99,86.8,113.78,55.66,167.04,86.74,103.15,194.64,48.02,106.8,106.8,94.8,,106.8,100.53,0.0,59.08,59.08,62.94,121.17,107.67,59.26,,116.67,92.85,7.79,67.03,59.56,30.79,63.96,80.56,45.39,,72.26,60.77,8.3,35.38,44.57,92.41,197.04,193.33,151.85,,195.8,183.27,2.14,109.0,106.95,47.98,86.74,86.74,86.44,,86.74,87.06,0.0,47.98,47.98,57.06,104.38,103.15,85.25,,103.97,98.78,0.71,57.74,57.06,107.67,220.71,220.71,188.93,,220.71,210.62,0.0,122.1,122.1
